Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED16,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,225.693788,-68.7,180.0,top
LED17,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,240.363788,-72.04,180.0,top
LED18,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,254.073788,-78.24,180.0,top
LED19,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,266.203788,-87.06,180.0,top
LED20,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,276.403788,-98.23,180.0,top
LED21,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,284.083788,-111.09,180.0,top
LED22,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,289.053788,-125.31,180.0,top
LED23,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,291.04,-140.16,180.0,top
LED24,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,290.033788,-155.03,180.0,top
LED25,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,286.07,-169.52,180.0,top
LED26,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,279.24,-182.94,180.0,top
LED27,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,269.88,-194.65,180.0,top
LED28,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,258.33,-204.3,180.0,top
LED29,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,245.07,-211.44,180.0,top
LED30,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,230.61,-215.77,180.0,top
R1,62,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,199.07,-199.46,90.0,top
R2,5.1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,214.5,-208.07,180.0,top
R3,5.1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.35,-206.3,180.0,top
R4,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,191.19,-172.830064,0.0,top
R5,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,191.217424,-184.77,0.0,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,193.02,-171.090128,0.0,top
R7,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,193.08,-183.05,0.0,top
U1,ESP32-WROOM-32E,WIFI-SMD_ESP32-WROOM-32E,213.4428,-175.80815,0.0,top
U2,CP2102-GMR,QFN-28_L5.0-W5.0-P0.50-BL-EP,234.389797,-183.12493,0.0,top
U3,U262-161N-4BVC11,USB-3.1-SMD_U262-161N-4BVC11,214.049959,-219.997592,0.0,top
U4,BL1117-33CX,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,234.95,-202.0,180.0,top
U5,UMH3N,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,227.987073,-184.926856,180.0,top
U6,SN74AHCT32QPWRQ1,TSSOP-14_L5.0-W4.4-P0.65-LS6.5-BL,192.589125,-197.865346,90.0,top
